chunk_size,chunk_overlap,top_k,recall_at_k,hit_at_k,ndcg_at_k,mrr_at_k,map_at_k,retrieval_time_s
500,50,1,0.1512,0.5,0.5,0.5,0.1512,0.1234
500,50,3,0.2173,0.5667,0.3344,0.5278,0.2029,0.1234
500,50,5,0.2407,0.5667,0.2993,0.5278,0.2147,0.1234
500,50,10,0.2818,0.7333,0.3093,0.5505,0.2212,0.1234
500,100,1,0.1511,0.5,0.5,0.5,0.1511,0.1046
500,100,3,0.2366,0.5667,0.35,0.5278,0.2185,0.1046
500,100,5,0.2516,0.6,0.3082,0.5344,0.2241,0.1046
500,100,10,0.2983,0.7,0.3198,0.5475,0.2351,0.1046
500,200,1,0.1455,0.5,0.5,0.5,0.1455,0.111
500,200,3,0.231,0.5667,0.3452,0.5278,0.2129,0.111
500,200,5,0.2377,0.5667,0.2984,0.5278,0.2169,0.111
500,200,10,0.2905,0.6667,0.3121,0.5412,0.2295,0.111
1000,50,1,0.2325,0.4667,0.4667,0.4667,0.2325,0.0933
1000,50,3,0.4095,0.7,0.4276,0.5722,0.3368,0.0933
1000,50,5,0.4706,0.7667,0.441,0.5889,0.3537,0.0933
1000,50,10,0.5095,0.8,0.4485,0.5926,0.359,0.0933
1000,100,1,0.1992,0.4333,0.4333,0.4333,0.1992,0.0923
1000,100,3,0.4095,0.7,0.4153,0.5556,0.3201,0.0923
1000,100,5,0.4706,0.7667,0.4287,0.5722,0.3371,0.0923
1000,100,10,0.5095,0.8,0.4356,0.5756,0.3418,0.0923
1000,200,1,0.2325,0.4667,0.4667,0.4667,0.2325,0.0942
1000,200,3,0.4095,0.7,0.4296,0.5778,0.3386,0.0942
1000,200,5,0.4706,0.7667,0.4431,0.5944,0.3556,0.0942
1000,200,10,0.4762,0.7667,0.4405,0.5944,0.3572,0.0942
2000,50,1,0.4417,0.5667,0.5667,0.5667,0.4417,0.0882
2000,50,3,0.5083,0.6333,0.5122,0.6,0.475,0.0882
2000,50,5,0.575,0.7,0.5368,0.615,0.49,0.0882
2000,50,10,0.6083,0.7333,0.5468,0.6187,0.4937,0.0882
2000,100,1,0.4417,0.5667,0.5667,0.5667,0.4417,0.0868
2000,100,3,0.5083,0.6333,0.5122,0.6,0.475,0.0868
2000,100,5,0.575,0.7,0.5368,0.615,0.49,0.0868
2000,100,10,0.6083,0.7333,0.5468,0.6187,0.4937,0.0868
2000,200,1,0.4417,0.5667,0.5667,0.5667,0.4417,0.0871
2000,200,3,0.5083,0.6333,0.5122,0.6,0.475,0.0871
2000,200,5,0.575,0.7,0.5368,0.615,0.49,0.0871
2000,200,10,0.6083,0.7333,0.5468,0.6187,0.4937,0.0871
